Aliment,Catégorie,Emoji catégorie,Emoji aliment,Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Kcal/100 g,Poids moyen (g),Saison
Graines de lin,Noix et graines,🥜,🌱,18.3,28.9,42.2,534,0.6,toute
Graines de tournesol,Noix et graines,🥜,🌻,20.8,20.0,51.5,584,0.5,toute
Graines de courge,Noix et graines,🥜,🎃,30.2,10.7,49.1,446,1.1,toute
Huile d'olive vierge,Huiles et graisses saines,🫒,🫒,0.0,0.0,100.0,884,14.0,toute
Huile de colza vierge,Huiles et graisses saines,🫒,🛢️,0.0,0.0,100.0,884,14.0,toute
Huile de noix,Huiles et graisses saines,🫒,🥜,0.0,0.0,100.0,884,14.0,toute
Huile de lin,Huiles et graisses saines,🫒,🌱,0.0,0.0,100.0,884,14.0,toute
Beurre d'amande,Huiles et graisses saines,🫒,🥜,21.2,20.0,55.0,614,32.0,toute
Beurre de cacahuète,Huiles et graisses saines,🫒,🥜,25.0,20.0,50.0,588,32.0,toute
Basilic (frais),"Épices, herbes et condiments",🌶️,🌿,3.2,2.7,0.6,23,30.0,printemps-été
Persil (frais),"Épices, herbes et condiments",🌶️,🌿,3.0,6.3,0.8,36,30.0,printemps-été
Thym (sec),"Épices, herbes et condiments",🌶️,🌿,6.8,24.5,5.5,101,1.0,toute
Romarin (sec),"Épices, herbes et condiments",🌶️,🌿,4.9,21.4,13.4,131,2.0,toute
Ail (clove),"Épices, herbes et condiments",🌶️,🧄,6.4,33.1,0.5,149,3.0,toute
Oignon (unité),"Épices, herbes et condiments",🌶️,🧅,1.1,9.3,0.1,40,110.0,toute
Poivre noir (tsp),"Épices, herbes et condiments",🌶️,🧂,10.4,64.8,3.3,251,2.0,toute
Curcuma (tsp),"Épices, herbes et condiments",🌶️,🟡,7.8,64.9,6.2,312,3.0,toute
Gingembre (knob),"Épices, herbes et condiments",🌶️,🌱,1.8,17.8,0.7,80,30.0,toute
Paprika (tsp),"Épices, herbes et condiments",🌶️,🌶️,14.1,54.1,12.2,282,2.0,toute
Vinaigre balsamique (càs),"Épices, herbes et condiments",🌶️,🍶,0.0,17.0,0.0,88,15.0,toute
Moutarde (càs),"Épices, herbes et condiments",🌶️,🟡,4.5,5.0,5.0,66,5.0,toute
Sauerkraut (choucroute),Produits fermentés,🥬,🥬,1.2,2.3,0.1,19,100.0,toute
Cornichons fermentés,Produits fermentés,🥬,🥒,0.8,1.5,0.2,12,100.0,toute
Kimchi,Produits fermentés,🥬,🌶️,1.9,4.1,1.1,56,100.0,toute
Kéfir,Produits fermentés,🥬,🥛,3.3,4.0,1.0,50,240.0,toute
Kombucha,Produits fermentés,🥬,🍹,0.0,3.0,0.0,14,240.0,toute
Barre de céréales complètes,Snacks et encas sains,🍫,🍫,7.0,60.0,10.0,350,30.0,toute
Crackers de légumes,Snacks et encas sains,🍫,🍘,5.0,60.0,10.0,350,10.0,toute
Boulettes de pois chiches,Snacks et encas sains,🍫,🍡,9.0,30.0,15.0,280,20.0,toute
Chips de kale,Snacks et encas sains,🍫,🥬,4.0,50.0,25.0,430,15.0,toute
Barre de noix et graines,Snacks et encas sains,🍫,🥜,12.0,35.0,30.0,450,40.0,toute
Boules d'énergie (datte-noix),Snacks et encas sains,🍫,🍪,8.0,55.0,20.0,320,25.0,toute
Eau minérale,Boissons sans sucre ajouté,🥤,💧,0.0,0.0,0.0,0,240.0,toute
Eau pétillante,Boissons sans sucre ajouté,🥤,💧,0.0,0.0,0.0,0,240.0,toute
Thé vert (infusé),Boissons sans sucre ajouté,🥤,🍵,0.1,0.2,0.0,1,240.0,toute
Thé noir (infusé),Boissons sans sucre ajouté,🥤,🍵,0.1,0.2,0.0,1,240.0,toute
Infusion de camomille,Boissons sans sucre ajouté,🥤,🌼,0.0,0.0,0.0,0,240.0,toute
Café noir (infus),Boissons sans sucre ajouté,🥤,☕,0.1,0.0,0.0,1,240.0,toute
Protéine de pois (poudre),Suppléments et compléments,💊,🥤,80.0,5.0,2.0,400,30.0,toute
Protéine de riz (poudre),Suppléments et compléments,💊,🥤,80.0,7.0,1.0,390,30.0,toute
Levure nutritionnelle,Suppléments et compléments,💊,🧂,50.0,20.0,5.0,325,15.0,toute
Spiruline (poudre),Suppléments et compléments,💊,🟢,57.5,24.0,7.0,350,5.0,toute
Poudre de maca,Suppléments et compléments,💊,🍄,11.0,58.0,2.0,350,10.0,toute
Poudre de baobab,Suppléments et compléments,💊,🍃,2.0,80.0,1.0,360,10.0,toute
